Ticker,index_name,start_date,end_date,mean_daily_return,std_daily_return,latest_cumulative_return,latest_volatility,annualized_return,annualized_volatility,sharpe_like
000001.SS,SSE Composite (China),2000-01-04,2026-03-25,0.00026782907440434773,0.014529325741246223,1.7957324157270915,0.18791659438141997,0.06981302485609242,0.2306458957727202,0.30268487814275513
^AXJO,ASX 200 (Australia),2000-01-04,2026-03-25,0.0002022816930248578,0.009851742906300972,1.7661375519411386,0.1806604366367218,0.052291146952644585,0.15639157026370246,0.3343603933669374
^BSESN,BSE Sensex (India),2000-01-03,2026-03-25,0.0005030127001071715,0.013752223845426109,13.004077133234553,0.23558715170923203,0.1351074662480014,0.21830978561453912,0.6188795700003813
^BVSP,Bovespa (Brazil),2000-01-03,2026-03-25,0.0005128457703136187,0.016974397483218495,9.952392203189595,0.2599057371341243,0.13792224355127192,0.26946020637454093,0.5118464258858485
^DJI,Dow Jones (USA),2000-01-03,2026-03-25,0.0002803719903368499,0.011555112604023778,3.0879989750724466,0.13417814150056312,0.07319892592202604,0.18343172592956933,0.39905270231242107
^FCHI,CAC 40 (France),2000-01-03,2026-03-25,0.00013590746750322266,0.01369082117640772,0.32601977724810505,0.20877074841697543,0.03483951290159748,0.21733504846218954,0.16030324215129352
^FTSE,FTSE 100 (UK),2000-01-04,2026-03-25,0.00012671427325518667,0.011293223241723601,0.516194355263855,0.18933725996863965,0.03244520467423517,0.17927436118761195,0.18098072953265765
^GDAXI,DAX (Germany),2000-01-03,2026-03-25,0.0002838018859790304,0.014137159244772093,2.4006661287256974,0.24920923244972168,0.07412666710003979,0.224420445639508,0.3303026463957355
^GSPC,S&P 500 (USA),2000-01-03,2026-03-25,0.00030323483012680794,0.012168311433107343,3.529830565174736,0.13232512166100666,0.07939812450046624,0.193165955565516,0.41103580736066514
^GSPTSE,TSX (Canada),2000-01-04,2026-03-25,0.0002667644866771967,0.010767976418276938,2.9478459453712387,0.18371945118976515,0.06952613475172686,0.1709363263570128,0.406737036143602
^HSI,Hang Seng (Hong Kong),2000-01-03,2026-03-25,0.00016840602646101013,0.014827751255957693,0.45863486817138566,0.26113742199886203,0.043347971142964514,0.23538325395353818,0.18415911248945893
^IXIC,NASDAQ (USA),2000-01-03,2026-03-25,0.0003756242733439549,0.015654006113400936,4.308405850888715,0.17587130978188276,0.09926254741846274,0.24849964318766188,0.3994474444516674
^KS11,KOSPI (South Korea),2000-01-04,2026-03-25,0.00036646008173674214,0.0146177246972313,4.3276644440489855,0.786668535529571,0.09672780501989431,0.23204918569488578,0.4168418205400586
^N225,Nikkei 225 (Japan),2000-01-04,2026-03-25,0.00026940587404354177,0.014642796361318586,1.828501755081263,0.38775285769824047,0.0702380890807155,0.2324471860236628,0.3021679474044713
