Ticker,000001.SS,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IXIC,^KS11,^N225
000001.SS,1.0,0.24194436627366261,0.18885293990405155,0.12670974809158356,0.07366001258988099,0.12496664761847646,0.13361805669893478,0.11747577472596575,0.07695524313448,0.11393500565037169,0.4302337030376241,0.06802437003163742,0.2270447289179986,0.23440963195370093
^AXJO,0.24194436627366261,1.0,0.37895689836241675,0.21039685696578744,0.19615218618431202,0.332208261215969,0.35897848995136006,0.2932484323592921,0.18648088524131542,0.27239393931528605,0.5340033867065829,0.14919128114424626,0.5205294875002171,0.5690862696728812
^BSESN,0.18885293990405155,0.37895689836241675,1.0,0.2494415552555929,0.22772983568689134,0.3572597637256264,0.3660631854059488,0.3299309659885392,0.2271924114006904,0.2801962648033498,0.45671290876941784,0.19093782725906017,0.39357106718596624,0.3336228241125773
^BVSP,0.12670974809158356,0.21039685696578744,0.2494415552555929,1.0,0.5724564608161744,0.4435627366108826,0.45147005665322365,0.44156772094410723,0.5910041439032089,0.5883489189869064,0.2580512516419565,0.5327690791936416,0.20047173590637646,0.15954950429180306
^DJI,0.07366001258988099,0.19615218618431202,0.22772983568689134,0.5724564608161744,1.0,0.5577958521419568,0.5365732135975156,0.5875083870750455,0.9617118912961885,0.7188513789562314,0.18715736982540823,0.8117249066027268,0.16205436364271866,0.14812573244497348
^FCHI,0.12496664761847646,0.332208261215969,0.3572597637256264,0.4435627366108826,0.5577958521419568,1.0,0.8750158283899688,0.900174714867602,0.5577705893294606,0.5521656391222626,0.35909432221315823,0.4826731145312797,0.3047448089178633,0.3062091289458096
^FTSE,0.13361805669893478,0.35897848995136006,0.3660631854059488,0.45147005665322365,0.5365732135975156,0.8750158283899688,1.0,0.8116129418375035,0.529622216195891,0.5638445538601343,0.3720473272928417,0.4400271658482335,0.3082909906291575,0.30861562735741854
^GDAXI,0.11747577472596575,0.2932484323592921,0.3299309659885392,0.44156772094410723,0.5875083870750455,0.900174714867602,0.8116129418375035,1.0,0.5899313351181322,0.5513237381752045,0.3363858628917177,0.5342838100071086,0.2961716597718946,0.28176396263428793
^GSPC,0.07695524313448,0.18648088524131542,0.2271924114006904,0.5910041439032089,0.9617118912961885,0.5577705893294606,0.529622216195891,0.5899313351181322,1.0,0.7608381361975539,0.19722604249767944,0.9055682297536664,0.16627866231733426,0.1437180719690579
^GSPTSE,0.11393500565037169,0.27239393931528605,0.2801962648033498,0.5883489189869064,0.7188513789562314,0.5521656391222626,0.5638445538601343,0.5513237381752045,0.7608381361975539,1.0,0.2620348422673326,0.6977479746044837,0.2246777669970094,0.21197061571540213
^HSI,0.4302337030376241,0.5340033867065829,0.45671290876941784,0.2580512516419565,0.18715736982540823,0.35909432221315823,0.3720473272928417,0.3363858628917177,0.19722604249767944,0.2620348422673326,1.0,0.192469310314149,0.5796152606195158,0.5283341331724551
^IXIC,0.06802437003163742,0.14919128114424626,0.19093782725906017,0.5327690791936416,0.8117249066027268,0.4826731145312797,0.4400271658482335,0.5342838100071086,0.9055682297536664,0.6977479746044837,0.192469310314149,1.0,0.16555664980236112,0.12719529606319555
^KS11,0.2270447289179986,0.5205294875002171,0.39357106718596624,0.20047173590637646,0.16205436364271866,0.3047448089178633,0.3082909906291575,0.2961716597718946,0.16627866231733426,0.2246777669970094,0.5796152606195158,0.16555664980236112,1.0,0.5842148239143199
^N225,0.23440963195370093,0.5690862696728812,0.3336228241125773,0.15954950429180306,0.14812573244497348,0.3062091289458096,0.30861562735741854,0.28176396263428793,0.1437180719690579,0.21197061571540213,0.5283341331724551,0.12719529606319555,0.5842148239143199,1.0
